frame_index,time,road,vehicle_class,vehicle_id,speed,interval_time,lane
2342,93.68,R,bus,1148,71.05263157894737,0.16,m
2379,95.16,L,car,1173,225.0,1.48,m
2413,96.52,R,car,1197,96.42857142857142,1.36,m
2417,96.68,L,car,1225,192.85714285714283,0.16,m
2424,96.96,L,truck,1195,96.42857142857142,4.04,r
2426,97.04,R,car,1198,75.0,5.24,l
2427,97.08,R,car,1209,90.0,0.4,m
2460,98.4,L,car,1243,122.72727272727273,1.32,m
2481,99.24,L,truck,1256,1350.0,2.2,l
2482,99.28,R,truck,1254,96.42857142857142,0.88,m
2509,100.36,L,car,1265,225.0,1.12,l
2524,100.96,R,car,1275,96.42857142857142,1.68,m
2555,102.2,R,car,1287,84.375,1.84,l
2562,102.48,R,car,1298,112.5,5.52,r
2578,103.12,R,car,1292,75.0,0.92,l
2593,103.72,L,truck,1303,103.84615384615384,2.76,m
2596,103.84,L,car,1350,675.0,0.12,m
2603,104.12,L,truck,1352,337.5,1.64,r
2625,105.0,R,car,1332,71.05263157894737,1.88,l
2628,105.12,R,car,1348,84.375,1.28,m
2641,105.64,R,truck,1344,75.0,0.64,l
2654,106.16,R,car,1361,90.0,1.04,m
2658,106.32,L,truck,1372,79.41176470588235,2.2,r
2681,107.24,R,car,1384,84.375,1.08,m
2682,107.28,R,car,1381,84.375,1.64,l
2682,107.28,L,car,1383,337.5,0.04,m
2742,109.68,L,car,1423,90.0,3.36,r
2750,110.0,L,car,1392,135.0,2.72,m
2756,110.24,R,truck,1444,79.41176470588235,0.24,m
2764,110.56,R,truck,1449,61.36363636363637,0.88,r
2768,110.72,R,car,1452,90.0,3.44,l
2770,110.8,L,car,1474,1350.0,0.08,l
2785,111.4,R,car,1459,75.0,1.16,m
2800,112.0,L,car,1466,135.0,0.6,m
2816,112.64,R,truck,1499,79.41176470588235,0.64,m
2825,113.0,R,car,1488,90.0,2.2,l
2833,113.32,L,car,1420,71.05263157894737,2.76,r
2900,116.0,R,car,1535,90.0,3.0,l
2929,117.16,R,car,1546,96.42857142857142,3.84,r
2945,117.8,R,truck,1552,79.41176470588235,5.16,m
2949,117.96,L,truck,1520,96.42857142857142,0.16,m
2970,118.8,R,car,1563,84.375,2.8,l
2972,118.88,R,car,1568,96.42857142857142,0.92,m
2993,119.72,L,car,1583,270.0,0.92,l
2998,119.92,R,car,1580,84.375,0.2,l
3017,120.68,R,car,1597,96.42857142857142,1.8,m
3033,121.32,L,car,1610,337.5,1.4,l
3052,122.08,L,truck,1579,79.41176470588235,4.92,r
3054,122.16,R,car,1608,84.375,0.84,l
3078,123.12,R,car,1619,96.42857142857142,2.44,m
3082,123.28,R,car,1620,96.42857142857142,1.12,l
3139,125.56,R,truck,1646,61.36363636363637,3.48,r
3145,125.8,R,car,1651,96.42857142857142,2.52,l
3179,127.16,R,bus,1658,84.375,4.04,m
3198,127.92,R,car,1662,96.42857142857142,2.12,l
3215,128.6,R,car,1663,90.0,0.68,l
3231,129.24,R,car,1672,75.0,2.08,m
3251,130.04,L,truck,1687,450.0,1.44,l
3261,130.44,R,car,1681,79.41176470588235,4.88,r
3265,130.6,R,car,1684,90.0,0.56,l
3296,131.84,R,car,1699,96.42857142857142,2.6,m
3311,132.44,R,truck,1717,103.84615384615384,2.0,r
3312,132.48,L,car,1716,150.0,0.64,m
3342,133.68,R,car,1720,90.0,3.08,l
3366,134.64,R,car,1733,90.0,2.2,r
3415,136.6,R,car,1744,103.84615384615384,2.92,l
3446,137.84,L,bus,1745,67.5,3.2,r
3450,138.0,R,truck,1754,79.41176470588235,5.52,m
3452,138.08,R,car,1756,112.5,1.48,l
3457,138.28,R,truck,1766,103.84615384615384,0.44,r
3524,140.96,R,car,1787,150.0,2.88,l
3531,141.24,L,car,1784,135.0,3.24,m
3552,142.08,R,car,1790,103.84615384615384,0.84,m
3573,142.92,R,car,1795,122.72727272727273,1.96,l
3597,143.88,R,car,1797,112.5,1.8,m
3605,144.2,R,car,1799,103.84615384615384,1.28,l
3742,149.68,R,car,1825,103.84615384615384,5.48,l
3745,149.8,L,car,1830,337.5,0.12,l
3782,151.28,L,truck,1828,71.05263157894737,13.0,r
3782,151.28,R,car,1855,270.0,7.4,m
3785,151.4,L,car,1846,135.0,0.12,m
3834,153.36,R,car,1873,337.5,1.96,m
3853,154.12,R,car,1871,122.72727272727273,4.32,l
3921,156.84,R,car,1904,112.5,3.48,m
3921,156.84,R,car,1906,135.0,2.72,l
3922,156.88,L,car,1925,675.0,0.04,m
3938,157.52,L,truck,1902,84.375,6.24,r
3991,159.64,R,car,1945,96.42857142857142,2.8,l
4043,161.72,L,car,1976,270.0,2.08,l
4061,162.44,R,car,1980,103.84615384615384,0.72,l
4065,162.6,L,car,1977,135.0,5.72,m
4067,162.68,L,car,1989,270.0,0.24,l
4156,166.24,R,car,2005,103.84615384615384,3.64,m
4164,166.56,R,car,2008,122.72727272727273,3.88,l
4199,167.96,L,truck,2019,84.375,10.44,r
4202,168.08,L,car,1949,75.0,0.12,r
4208,168.32,R,truck,2033,122.72727272727273,1.76,l
4214,168.56,L,car,2013,122.72727272727273,2.32,m
4239,169.56,R,car,2053,150.0,1.0,m
4291,171.64,R,car,2066,112.5,3.32,l
4343,173.72,R,car,2082,135.0,4.16,m
4359,174.36,L,car,2091,270.0,2.72,l
4386,175.44,L,truck,2102,112.5,7.36,r
4409,176.36,R,car,2106,103.84615384615384,2.0,l
4422,176.88,L,truck,2077,79.41176470588235,3.16,m
4422,176.88,L,truck,2122,103.84615384615384,1.44,r
4433,177.32,L,truck,2081,64.28571428571429,0.44,r
4446,177.84,R,car,2126,112.5,0.96,m
4461,178.44,L,truck,2103,71.05263157894737,1.12,r
4501,180.04,L,car,2157,1350.0,2.2,m
4534,181.36,L,truck,2167,79.41176470588235,2.92,r
4538,181.52,R,bus,2159,112.5,5.16,l
4544,181.76,R,bus,2162,64.28571428571429,1.72,m
4562,182.48,R,car,2181,112.5,0.96,l
4569,182.76,L,truck,2138,75.0,1.0,m
4592,183.68,R,car,2196,103.84615384615384,2.32,r
4604,184.16,R,car,2203,122.72727272727273,1.68,l
4604,184.16,R,truck,2214,96.42857142857142,0.48,r
4611,184.44,R,car,2208,103.84615384615384,0.28,r
4654,186.16,L,car,2225,270.0,3.4,m
4666,186.64,R,truck,2237,75.0,2.2,r
4669,186.76,R,car,2232,103.84615384615384,2.6,l
4674,186.96,L,truck,2255,96.42857142857142,0.32,r
4686,187.44,R,car,2247,96.42857142857142,1.28,m
4688,187.52,L,truck,2257,51.92307692307692,0.56,r
4727,189.08,R,truck,2281,103.84615384615384,2.32,l
4749,189.96,R,truck,2277,96.42857142857142,2.52,m
4751,190.04,L,car,2290,103.84615384615384,0.08,m
4781,191.24,R,car,2315,103.84615384615384,2.16,l
4787,191.48,R,car,2318,103.84615384615384,1.44,m
4821,192.84,R,truck,2338,84.375,1.36,m
4825,193.0,R,car,2331,64.28571428571429,5.48,r
4839,193.56,L,car,2355,450.0,0.72,m
4846,193.84,R,car,2344,112.5,2.6,l
4923,196.92,L,truck,2370,84.375,3.36,m
4992,199.68,R,car,2405,135.0,5.84,l
5000,200.0,L,truck,2398,84.375,3.08,m
5005,200.2,R,car,2392,51.92307692307692,7.2,r
5154,206.16,R,truck,2441,103.84615384615384,6.48,l
5187,207.48,R,bus,2462,84.375,7.28,r
5200,208.0,L,truck,2448,84.375,8.0,m
5212,208.48,R,car,2471,112.5,2.32,l
5237,209.48,L,truck,2469,75.0,2.0,r
5311,212.44,L,truck,2485,79.41176470588235,4.44,m
5323,212.92,R,car,2534,103.84615384615384,4.44,l
5351,214.04,L,truck,2540,79.41176470588235,1.6,m
5358,214.32,L,truck,2574,112.5,4.84,r
5382,215.28,R,car,2584,135.0,1.24,m
5404,216.16,L,truck,2561,96.42857142857142,0.88,m
5438,217.52,R,car,2601,103.84615384615384,4.6,l
5450,218.0,R,car,2613,96.42857142857142,1.84,m
5490,219.6,R,car,2620,96.42857142857142,2.08,l
5512,220.48,L,car,2543,84.375,2.48,m
5556,222.24,R,truck,2639,79.41176470588235,1.76,m
5564,222.56,R,truck,2647,84.375,2.96,l
5603,224.12,L,truck,2668,112.5,9.8,r
5617,224.68,R,car,2685,90.0,2.12,l
5622,224.88,R,truck,2683,84.375,2.64,m
5622,224.88,L,truck,2697,75.0,0.0,m
5636,225.44,L,truck,2676,84.375,1.32,r
5642,225.68,R,truck,2707,90.0,1.0,l
5658,226.32,R,truck,2708,43.54838709677419,1.44,m
5660,226.4,R,car,2706,90.0,0.72,l
5661,226.44,R,truck,2703,79.41176470588235,1.0,r
5693,227.72,R,truck,2724,84.375,1.32,l
5718,228.72,R,car,2725,79.41176470588235,1.0,l
5777,231.08,R,truck,2739,79.41176470588235,4.64,r
5779,231.16,L,truck,2733,79.41176470588235,0.08,r
5787,231.48,R,truck,2748,84.375,2.76,l
5830,233.2,R,car,2753,90.0,6.88,m
5831,233.24,R,car,2752,84.375,1.76,l
5840,233.6,R,bus,2754,67.5,2.44,r
5857,234.28,R,bus,2757,79.41176470588235,1.08,m
5861,234.44,R,car,2758,84.375,1.2,l
5882,235.28,R,truck,2767,96.42857142857142,1.0,m
5912,236.48,R,car,2766,71.05263157894737,1.2,m
5920,236.8,R,truck,2776,79.41176470588235,2.36,l
