frame_index,time,vehicle_num,vehicle_num_l,vehicle_num_r
0,0.0,0,0,0
25,1.0,4,0,4
50,2.0,5,0,5
75,3.0,3,0,3
100,4.0,5,1,4
125,5.0,4,0,4
150,6.0,4,0,4
175,7.0,6,1,5
200,8.0,6,1,5
225,9.0,3,0,3
250,10.0,5,0,5
275,11.0,4,1,3
300,12.0,6,0,6
325,13.0,7,1,6
350,14.0,8,0,8
375,15.0,7,0,7
400,16.0,13,2,11
425,17.0,15,2,13
450,18.0,8,0,8
475,19.0,8,0,8
500,20.0,7,1,6
525,21.0,7,0,7
550,22.0,3,1,2
575,23.0,6,2,4
600,24.0,8,2,6
625,25.0,7,1,6
650,26.0,7,0,7
675,27.0,8,0,8
700,28.0,6,1,5
725,29.0,6,1,5
750,30.0,6,2,4
775,31.0,4,1,3
800,32.0,5,1,4
825,33.0,4,1,3
850,34.0,5,0,5
875,35.0,4,1,3
900,36.0,3,0,3
925,37.0,6,0,6
950,38.0,6,2,4
975,39.0,8,4,4
1000,40.0,5,1,4
1025,41.0,7,0,7
1050,42.0,7,2,5
1075,43.0,9,3,6
1100,44.0,11,3,8
1125,45.0,4,0,4
1150,46.0,8,0,8
1175,47.0,10,2,8
1200,48.0,7,2,5
1225,49.0,8,1,7
1250,50.0,7,3,4
1275,51.0,8,3,5
1300,52.0,6,2,4
1325,53.0,5,2,3
1350,54.0,3,0,3
1375,55.0,3,0,3
1400,56.0,5,2,3
1425,57.0,3,2,1
1450,58.0,1,1,0
1475,59.0,3,0,3
1500,60.0,2,0,2
1525,61.0,3,0,3
1550,62.0,4,2,2
1575,63.0,4,0,4
1600,64.0,4,0,4
1625,65.0,5,1,4
1650,66.0,8,3,5
1675,67.0,10,2,8
1700,68.0,4,2,2
1725,69.0,5,2,3
1750,70.0,7,0,7
1775,71.0,5,1,4
1800,72.0,7,0,7
1825,73.0,5,1,4
1850,74.0,2,0,2
1875,75.0,5,2,3
1900,76.0,1,1,0
1925,77.0,1,0,1
1950,78.0,4,2,2
1975,79.0,3,2,1
2000,80.0,1,1,0
2025,81.0,2,1,1
2050,82.0,5,1,4
2075,83.0,3,0,3
2100,84.0,6,1,5
2125,85.0,6,1,5
2150,86.0,2,1,1
2175,87.0,6,2,4
2200,88.0,6,2,4
2225,89.0,3,0,3
2250,90.0,7,2,5
2275,91.0,11,5,6
2300,92.0,8,4,4
2325,93.0,6,1,5
2350,94.0,9,3,6
2375,95.0,1,1,0
2400,96.0,8,4,4
2425,97.0,9,5,4
2450,98.0,5,3,2
2475,99.0,6,2,4
2500,100.0,7,2,5
2525,101.0,6,2,4
2550,102.0,8,1,7
2575,103.0,11,4,7
2600,104.0,12,4,8
2625,105.0,10,1,9
2650,106.0,11,3,8
2675,107.0,8,1,7
2700,108.0,11,2,9
2725,109.0,10,1,9
2750,110.0,11,2,9
2775,111.0,7,1,6
2800,112.0,8,1,7
2825,113.0,8,2,6
2850,114.0,6,1,5
2875,115.0,5,1,4
2900,116.0,6,1,5
2925,117.0,6,1,5
2950,118.0,5,1,4
2975,119.0,7,1,6
3000,120.0,8,1,7
3025,121.0,5,1,4
3050,122.0,6,3,3
3075,123.0,6,1,5
3100,124.0,7,0,7
3125,125.0,5,0,5
3150,126.0,6,0,6
3175,127.0,6,1,5
3200,128.0,6,0,6
3225,129.0,7,0,7
3250,130.0,5,1,4
3275,131.0,10,0,10
3300,132.0,7,1,6
3325,133.0,8,2,6
3350,134.0,6,0,6
3375,135.0,4,0,4
3400,136.0,5,0,5
3425,137.0,9,2,7
3450,138.0,10,1,9
3475,139.0,6,1,5
3500,140.0,3,1,2
3525,141.0,5,1,4
3550,142.0,4,1,3
3575,143.0,4,1,3
3600,144.0,4,0,4
3625,145.0,4,0,4
3650,146.0,4,0,4
3675,147.0,4,0,4
3700,148.0,1,0,1
3725,149.0,3,0,3
3750,150.0,4,3,1
3775,151.0,2,2,0
3800,152.0,2,2,0
3825,153.0,2,1,1
3850,154.0,1,0,1
3875,155.0,1,1,0
3900,156.0,3,1,2
3925,157.0,4,2,2
3950,158.0,6,1,5
3975,159.0,4,2,2
4000,160.0,3,0,3
4025,161.0,7,0,7
4050,162.0,7,1,6
4075,163.0,3,2,1
4100,164.0,0,0,0
4125,165.0,3,1,2
4150,166.0,4,1,3
4175,167.0,3,1,2
4200,168.0,5,1,4
4225,169.0,4,2,2
4250,170.0,1,0,1
4275,171.0,2,0,2
4300,172.0,1,0,1
4325,173.0,4,0,4
4350,174.0,5,0,5
4375,175.0,6,2,4
4400,176.0,5,3,2
4425,177.0,4,1,3
4450,178.0,5,2,3
4475,179.0,2,1,1
4500,180.0,2,1,1
4525,181.0,5,1,4
4550,182.0,4,2,2
4575,183.0,6,2,4
4600,184.0,7,0,7
4625,185.0,9,0,9
4650,186.0,11,2,9
4675,187.0,6,1,5
4700,188.0,6,2,4
4725,189.0,5,0,5
4750,190.0,5,2,3
4775,191.0,6,1,5
4800,192.0,5,0,5
4825,193.0,9,0,9
4850,194.0,3,1,2
4875,195.0,3,1,2
4900,196.0,7,1,6
4925,197.0,3,2,1
4950,198.0,1,0,1
4975,199.0,2,0,2
5000,200.0,2,1,1
5025,201.0,2,1,1
5050,202.0,0,0,0
5075,203.0,0,0,0
5100,204.0,0,0,0
5125,205.0,1,1,0
5150,206.0,2,0,2
5175,207.0,4,0,4
5200,208.0,3,2,1
5225,209.0,5,2,3
5250,210.0,3,1,2
5275,211.0,2,0,2
5300,212.0,4,1,3
5325,213.0,10,3,7
5350,214.0,5,2,3
5375,215.0,5,1,4
5400,216.0,3,1,2
5425,217.0,6,1,5
5450,218.0,5,0,5
5475,219.0,6,1,5
5500,220.0,5,1,4
5525,221.0,5,1,4
5550,222.0,4,1,3
5575,223.0,4,0,4
5600,224.0,6,2,4
5625,225.0,8,4,4
5650,226.0,7,3,4
5675,227.0,3,1,2
