frame_index,time,road,vehicle_class,vehicle_id,"track_type,"
25,1.0,R,car,4,in
25,1.0,R,car,5,in
25,1.0,R,car,6,in
25,1.0,R,car,10,in
50,2.0,R,car,22,in
50,2.0,R,car,28,in
50,2.0,R,car,4,out
75,3.0,R,car,5,out
75,3.0,R,car,6,out
100,4.0,R,car,6,in
100,4.0,R,car,27,in
100,4.0,L,truck,34,in
100,4.0,R,car,10,out
125,5.0,R,car,38,in
125,5.0,R,car,43,in
125,5.0,R,car,28,out
125,5.0,R,car,6,out
125,5.0,R,car,27,out
150,6.0,R,car,53,in
150,6.0,R,car,54,in
150,6.0,R,car,22,out
150,6.0,R,car,43,out
175,7.0,L,truck,63,in
175,7.0,R,bus,66,in
175,7.0,R,car,67,in
175,7.0,L,truck,34,out
200,8.0,L,car,72,in
200,8.0,R,car,75,in
200,8.0,R,car,76,in
200,8.0,R,car,54,out
200,8.0,L,truck,63,out
200,8.0,R,bus,66,out
225,9.0,R,car,38,out
225,9.0,R,car,53,out
225,9.0,R,car,76,out
250,10.0,R,car,90,in
250,10.0,R,truck,93,in
250,10.0,R,car,95,in
250,10.0,R,car,67,out
275,11.0,L,car,100,in
275,11.0,L,car,72,out
275,11.0,R,truck,93,out
300,12.0,R,car,72,in
300,12.0,R,car,102,in
325,13.0,R,car,112,in
325,13.0,R,car,121,in
325,13.0,L,car,130,in
325,13.0,R,car,75,out
325,13.0,R,car,72,out
350,14.0,R,car,75,in
350,14.0,R,car,135,in
350,14.0,R,car,142,in
350,14.0,R,car,90,out
350,14.0,R,car,95,out
375,15.0,R,car,148,in
375,15.0,R,truck,151,in
375,15.0,R,car,75,out
375,15.0,R,car,135,out
375,15.0,R,car,142,out
400,16.0,R,car,160,in
400,16.0,R,car,161,in
400,16.0,R,car,162,in
400,16.0,R,car,165,in
400,16.0,R,car,169,in
400,16.0,R,car,170,in
400,16.0,L,car,171,in
400,16.0,L,car,100,out
425,17.0,R,car,135,in
425,17.0,R,car,142,in
425,17.0,R,car,163,in
425,17.0,R,car,178,in
425,17.0,L,car,179,in
425,17.0,R,car,180,in
425,17.0,R,car,102,out
425,17.0,R,car,112,out
425,17.0,R,car,169,out
425,17.0,R,car,170,out
450,18.0,R,car,112,in
450,18.0,R,car,121,out
450,18.0,L,car,130,out
450,18.0,R,truck,151,out
450,18.0,R,car,160,out
450,18.0,R,car,165,out
450,18.0,R,car,142,out
450,18.0,R,car,163,out
450,18.0,L,car,179,out
475,19.0,R,car,160,in
475,19.0,R,car,135,out
500,20.0,R,car,163,in
500,20.0,R,car,202,in
500,20.0,L,car,211,in
500,20.0,R,car,148,out
500,20.0,L,car,171,out
500,20.0,R,car,180,out
500,20.0,R,car,112,out
525,21.0,R,car,171,in
525,21.0,R,car,180,in
525,21.0,R,truck,216,in
525,21.0,R,car,161,out
525,21.0,R,car,160,out
525,21.0,R,car,202,out
550,22.0,R,car,220,in
550,22.0,L,car,224,in
550,22.0,R,car,162,out
550,22.0,R,car,178,out
550,22.0,R,car,163,out
550,22.0,R,car,171,out
550,22.0,R,car,180,out
550,22.0,R,truck,216,out
575,23.0,R,car,112,in
575,23.0,R,car,178,in
575,23.0,L,truck,216,in
575,23.0,L,car,229,in
575,23.0,R,car,220,out
600,24.0,R,car,236,in
600,24.0,R,car,246,in
600,24.0,R,car,248,in
