frame_index,time,road,vehicle_class,vehicle_id,speed,interval_time,lane
21,0.84,R,car,1,90.0,0,l
43,1.72,L,car,12,103.84615384615384,0.88,l
68,2.72,R,car,20,112.5,0,m
86,3.44,R,car,25,135.0,0,r
105,4.2,L,car,26,103.84615384615384,2.48,l
145,5.8,R,car,30,103.84615384615384,1.6,l
168,6.72,R,truck,36,75.0,4.0,m
216,8.64,R,car,50,103.84615384615384,2.84,l
236,9.44,R,car,55,103.84615384615384,0.8,l
236,9.44,R,car,61,112.5,2.72,m
266,10.64,L,truck,48,90.0,1.2,m
333,13.32,L,truck,68,54.0,9.88,r
333,13.32,L,car,85,84.375,3.88,l
374,14.96,L,truck,65,90.0,4.32,m
410,16.4,L,car,137,90.0,3.08,l
425,17.0,R,car,147,96.42857142857142,2.04,m
438,17.52,L,car,145,84.375,1.12,l
452,18.08,L,truck,153,135.0,4.76,r
453,18.12,L,bus,163,1350.0,0.04,r
467,18.68,L,truck,133,38.57142857142858,0.56,r
496,19.84,L,truck,157,168.75,2.84,m
498,19.92,R,car,166,90.0,2.4,l
504,20.16,L,truck,181,84.375,0.24,l
505,20.2,R,bus,168,61.36363636363637,0.36,m
507,20.28,R,car,191,103.84615384615384,1.6,r
509,20.36,L,truck,113,40.90909090909091,0.08,r
538,21.52,L,truck,140,75.0,1.32,m
566,22.64,L,car,200,84.375,2.48,l
579,23.16,L,bus,207,71.05263157894737,2.8,r
586,23.44,L,truck,180,54.0,0.28,r
598,23.92,L,car,213,90.0,1.28,l
610,24.4,R,car,224,103.84615384615384,0.48,l
618,24.72,L,car,226,103.84615384615384,3.2,m
629,25.16,L,car,227,90.0,0.76,l
669,26.76,L,car,240,96.42857142857142,1.6,l
670,26.8,R,car,244,90.0,0.04,l
681,27.24,R,car,249,90.0,2.52,m
685,27.4,L,truck,248,46.55172413793104,3.96,r
706,28.24,R,car,257,96.42857142857142,1.44,l
762,30.48,R,car,281,103.84615384615384,2.24,l
794,31.76,L,car,288,84.375,1.28,l
803,32.12,R,car,301,122.72727272727273,4.72,r
806,32.24,R,car,313,337.5,0.48,l
813,32.52,L,car,296,96.42857142857142,0.28,l
820,32.8,L,truck,293,75.0,5.56,m
834,33.36,R,car,320,103.84615384615384,0.84,l
870,34.8,L,car,303,90.0,2.0,m
873,34.92,R,truck,343,64.28571428571429,0.12,m
883,35.32,L,car,345,75.0,1.96,l
900,36.0,R,truck,353,90.0,0.68,l
933,37.32,L,car,357,79.41176470588235,1.32,l
945,37.8,L,car,387,96.42857142857142,2.88,m
954,38.16,L,truck,391,103.84615384615384,6.04,r
960,38.4,R,truck,400,103.84615384615384,0.6,m
962,38.48,L,car,383,75.0,1.16,l
963,38.52,L,truck,405,135.0,0.04,l
973,38.92,L,car,382,90.0,0.52,m
977,39.08,R,car,401,90.0,0.56,l
1006,40.24,L,car,407,79.41176470588235,1.16,l
1007,40.28,L,car,374,84.375,1.36,m
1028,41.12,L,car,406,84.375,0.84,m
1030,41.2,R,car,435,84.375,0.08,m
1038,41.52,L,car,426,79.41176470588235,1.28,l
1067,42.68,R,car,454,84.375,1.48,m
1089,43.56,L,car,442,96.42857142857142,0.88,m
1090,43.6,R,car,462,84.375,2.08,l
1133,45.32,L,truck,477,79.41176470588235,1.72,l
1137,45.48,R,car,482,90.0,1.92,m
1140,45.6,R,car,480,75.0,0.28,l
1147,45.88,R,car,496,103.84615384615384,7.72,r
1166,46.64,R,truck,500,84.375,1.04,l
1198,47.92,L,truck,473,58.69565217391304,2.04,r
1208,48.32,L,car,481,112.5,2.84,m
1213,48.52,R,bus,519,90.0,0.2,m
1230,49.2,L,car,521,84.375,2.56,l
1242,49.68,R,car,527,79.41176470588235,0.48,l
1269,50.76,R,car,538,79.41176470588235,2.24,m
1293,51.72,R,car,544,79.41176470588235,2.04,l
1324,52.96,L,car,565,103.84615384615384,1.24,l
1354,54.16,R,truck,569,90.0,1.2,l
1357,54.28,L,truck,511,75.0,3.52,m
1395,55.8,L,car,583,90.0,1.64,l
1407,56.28,L,truck,601,337.5,2.0,m
1415,56.6,R,car,586,84.375,0.8,l
1427,57.08,R,car,598,90.0,0.8,m
1445,57.8,L,car,609,96.42857142857142,1.2,l
1456,58.24,R,bus,617,71.05263157894737,10.32,r
1464,58.56,R,car,630,90.0,0.76,l
1493,59.72,R,car,643,103.84615384615384,1.16,l
1503,60.12,L,truck,632,71.05263157894737,3.04,m
1508,60.32,R,car,656,90.0,0.2,m
1514,60.56,L,car,653,90.0,0.84,l
1523,60.92,R,car,664,96.42857142857142,0.36,l
1551,62.04,L,car,668,103.84615384615384,3.8,r
1562,62.48,R,bus,686,64.28571428571429,0.44,r
1565,62.6,L,car,667,79.41176470588235,2.28,m
1571,62.84,L,car,633,90.0,1.92,l
1572,62.88,L,truck,683,84.375,0.04,l
1574,62.96,R,car,690,90.0,0.36,m
1595,63.8,R,bus,704,79.41176470588235,0.92,l
1601,64.04,L,car,712,96.42857142857142,1.08,m
1617,64.68,L,truck,689,79.41176470588235,2.2,r
1640,65.6,R,truck,719,31.3953488372093,0.92,r
1654,66.16,R,car,739,64.28571428571429,0.56,r
1654,66.16,R,car,742,90.0,2.12,m
1679,67.16,R,car,748,84.375,3.36,l
1690,67.6,L,car,724,84.375,1.44,m
1692,67.68,L,car,747,84.375,0.52,l
1706,68.24,R,truck,751,64.28571428571429,2.08,r
1737,69.48,L,car,759,84.375,1.8,l
1748,69.92,R,truck,775,71.05263157894737,2.32,m
1751,70.04,R,car,769,79.41176470588235,0.56,l
1752,70.08,L,car,691,168.75,0.16,m
1754,70.16,R,car,771,64.28571428571429,1.92,r
1772,70.88,L,car,786,84.375,0.84,l
1873,74.92,L,car,842,103.84615384615384,4.84,m
1877,75.08,L,car,851,84.375,4.2,l
1884,75.36,R,bus,853,64.28571428571429,5.2,r
1884,75.36,R,bus,856,79.41176470588235,0.44,m
1890,75.6,R,truck,858,71.05263157894737,0.52,l
1898,75.92,L,car,794,103.84615384615384,0.56,m
1905,76.2,R,car,857,71.05263157894737,0.28,m
