frame_index,time,road,lane,vehicle_class,vehicle_id
36719,1468.76,L,r,truck,17716
36812,1472.48,L,r,truck,17780
36881,1475.24,L,r,truck,17758
37056,1482.24,L,l,truck,17887
37212,1488.48,R,r,truck,17926
37438,1497.52,L,r,car,18038
37647,1505.88,R,r,truck,18139
37945,1517.8,R,r,truck,18274
38025,1521,L,m,car,18281
38426,1537.04,R,m,car,18441
38537,1541.48,L,m,truck,18490
38555,1542.2,L,r,truck,18479
38606,1544.24,R,r,bus,18521
38900,1556,R,l,truck,18695
39117,1564.68,R,m,car,18798
39125,1565,R,r,car,18780
39174,1566.96,R,m,bus,18823
39195,1567.8,L,m,car,18761
39201,1568.04,L,r,car,18727
39551,1582.04,L,r,truck,19033
39663,1586.52,L,r,truck,19067
39673,1586.92,L,r,truck,19142
39912,1596.48,L,r,truck,19278
40037,1601.48,R,l,truck,19341
40363,1614.52,R,r,truck,19484
40392,1615.68,R,r,truck,19494
41014,1640.56,L,r,truck,19716
41032,1641.28,L,m,truck,19715
41051,1642.04,R,r,truck,19777
41640,1665.6,R,m,bus,19987
41717,1668.68,L,r,truck,20027
41918,1676.72,R,m,truck,20144
42029,1681.16,R,r,car,20211
42240,1689.6,R,r,bus,20369
43044,1721.76,R,m,car,20687
43066,1722.64,R,m,car,20693
43103,1724.12,L,r,truck,20735
43213,1728.52,R,r,truck,20788
43388,1735.52,R,l,car,20881
43821,1752.84,L,r,car,21001
43923,1756.92,L,l,car,21169
43936,1757.44,L,r,truck,21109
44091,1763.64,R,r,car,21279
44408,1776.32,R,l,truck,21543
44754,1790.16,R,r,car,21690
44814,1792.56,R,l,truck,21706
44975,1799,R,r,car,21795
45000,1800,R,l,car,21808
45061,1802.44,R,r,car,21854
45104,1804.16,L,m,truck,21906
45302,1812.08,R,m,car,22029
45385,1815.4,R,m,car,22079
45467,1818.68,R,r,car,22134
45499,1819.96,R,r,car,22150
45533,1821.32,L,l,car,22097
45557,1822.28,R,r,car,22181
45746,1829.84,L,r,truck,22284
45764,1830.56,R,m,car,22309
45807,1832.28,R,r,truck,22348
46617,1864.68,R,r,truck,22884
46679,1867.16,R,r,truck,22903
46795,1871.8,R,r,bus,22954
46816,1872.64,R,m,truck,22966
47259,1890.36,R,m,truck,23215
47378,1895.12,R,l,car,23280
47549,1901.96,R,r,truck,23352
47624,1904.96,L,r,truck,23424
47898,1915.92,R,m,truck,23585
47938,1917.52,R,r,bus,23636
47999,1919.96,L,r,truck,23620
48146,1925.84,R,r,truck,23783
48157,1926.28,L,r,truck,23746
48336,1933.44,R,r,car,23918
48629,1945.16,L,r,car,24057
48665,1946.6,L,r,truck,24103
48737,1949.48,L,r,bus,24194
49031,1961.24,R,m,car,24330
49570,1982.8,L,r,car,24506
49581,1983.24,R,m,car,24565
49621,1984.84,R,m,car,24584
49757,1990.28,R,r,truck,24700
49765,1990.6,L,m,truck,24553
49840,1993.6,R,m,truck,24774
50265,2010.6,L,r,truck,24974
50395,2015.8,R,r,truck,25086
50428,2017.12,R,m,car,25153
50506,2020.24,R,r,car,25183
50596,2023.84,L,m,truck,25271
50674,2026.96,L,r,bus,25356
50893,2035.72,L,r,truck,25503
51205,2048.2,R,r,bus,25700
51330,2053.2,R,r,car,25729
51336,2053.44,R,m,truck,25742
51472,2058.88,R,m,car,25820
51731,2069.24,L,r,truck,25990
51885,2075.4,R,m,truck,26098
51886,2075.44,L,r,bus,26096
51893,2075.72,R,r,car,26109
51898,2075.92,R,r,car,26080
51913,2076.52,R,r,car,26093
51986,2079.44,L,r,truck,26185
52030,2081.2,R,r,car,26245
52063,2082.52,L,r,truck,26169
52575,2103,L,r,truck,26455
52723,2108.92,L,r,truck,26572
52806,2112.24,L,r,truck,26641
53013,2120.52,R,r,truck,26795
53155,2126.2,R,r,bus,26892
53485,2139.4,L,r,truck,27154
53521,2140.84,L,m,truck,27177
53542,2141.68,R,m,truck,27235
53906,2156.24,R,r,truck,27511
54099,2163.96,R,r,truck,27647
54106,2164.24,R,l,car,27641
54455,2178.2,R,r,truck,27831
54725,2189,R,m,truck,28013
54835,2193.4,R,r,truck,28085
54841,2193.64,R,r,car,28070
55295,2211.8,R,m,car,28297
55337,2213.48,R,r,car,28393
55396,2215.84,R,r,car,28427
56055,2242.2,R,m,car,28822
56142,2245.68,R,r,car,28907
56718,2268.72,R,r,truck,29247
56745,2269.8,R,r,car,29250
57036,2281.44,L,r,truck,29402
57402,2296.08,L,r,truck,29585
57419,2296.76,R,l,truck,29604
57642,2305.68,L,r,truck,29731
57661,2306.44,L,r,truck,29735
58193,2327.72,R,m,car,29892
58213,2328.52,R,m,car,29921
58678,2347.12,R,m,bus,30214
58790,2351.6,L,r,truck,30257
58907,2356.28,L,r,car,30255
58942,2357.68,L,l,truck,30351
58956,2358.24,R,m,car,30360
59094,2363.76,L,r,truck,30344
59173,2366.92,R,m,car,30511
59576,2383.04,R,l,car,30725
59839,2393.56,R,m,car,30809
60336,2413.44,R,m,car,30968
60405,2416.2,L,l,car,30993
60536,2421.44,R,r,car,31076
60547,2421.88,L,r,truck,30997
60779,2431.16,L,m,car,31161
60947,2437.88,R,r,car,31229
61057,2442.28,L,m,car,31266
61112,2444.48,L,r,truck,31281
61178,2447.12,L,r,bus,31331
61234,2449.36,R,m,truck,31355
61345,2453.8,L,r,truck,31380
61419,2456.76,L,r,bus,31426
