frame_index,time,road,vehicle_class,vehicle_id,"track_type,"
25,1.0,L,car,1,in
25,1.0,R,car,2,in
25,1.0,L,car,5,in
25,1.0,L,car,11,in
50,2.0,L,truck,4,in
50,2.0,L,truck,29,in
50,2.0,L,car,30,in
50,2.0,L,car,1,out
50,2.0,R,car,2,out
50,2.0,L,car,5,out
75,3.0,L,truck,4,out
75,3.0,L,truck,29,out
75,3.0,L,car,30,out
100,4.0,L,car,11,out
125,5.0,L,car,44,in
125,5.0,L,car,45,in
150,6.0,L,car,44,out
150,6.0,L,car,45,out
175,7.0,L,car,77,in
200,8.0,L,car,44,in
200,8.0,L,car,80,in
200,8.0,L,car,92,in
200,8.0,L,truck,99,in
200,8.0,L,car,109,in
225,9.0,L,car,116,in
225,9.0,L,car,124,in
225,9.0,L,car,125,in
225,9.0,L,car,127,in
225,9.0,L,car,130,in
225,9.0,L,car,131,in
225,9.0,L,car,134,in
225,9.0,L,car,135,in
225,9.0,L,car,44,out
225,9.0,L,car,92,out
225,9.0,L,car,109,out
250,10.0,L,car,92,in
250,10.0,L,car,109,in
250,10.0,L,car,120,in
250,10.0,L,car,126,in
250,10.0,R,car,147,in
250,10.0,L,car,150,in
250,10.0,L,car,154,in
250,10.0,L,car,156,in
250,10.0,L,bus,161,in
250,10.0,L,car,171,in
250,10.0,L,car,77,out
250,10.0,L,car,116,out
250,10.0,L,car,124,out
250,10.0,L,car,127,out
250,10.0,L,car,130,out
250,10.0,L,car,131,out
250,10.0,L,car,134,out
250,10.0,L,car,135,out
275,11.0,L,car,77,in
275,11.0,L,car,135,in
275,11.0,L,car,142,in
275,11.0,L,car,143,in
275,11.0,L,car,185,in
275,11.0,L,car,194,in
275,11.0,L,car,92,out
275,11.0,L,car,109,out
275,11.0,L,car,120,out
275,11.0,R,car,147,out
275,11.0,L,car,154,out
300,12.0,L,car,92,in
300,12.0,L,car,127,in
300,12.0,L,car,134,in
300,12.0,L,car,181,in
300,12.0,L,car,197,in
300,12.0,L,bus,209,in
300,12.0,L,car,214,in
300,12.0,L,car,80,out
300,12.0,L,car,126,out
300,12.0,L,car,150,out
300,12.0,L,bus,161,out
300,12.0,L,car,142,out
300,12.0,L,car,185,out
300,12.0,L,car,194,out
325,13.0,L,car,126,in
325,13.0,L,car,162,in
325,13.0,L,car,176,in
325,13.0,L,car,185,in
325,13.0,L,car,199,in
325,13.0,L,car,227,in
325,13.0,L,car,231,in
325,13.0,L,car,125,out
325,13.0,L,car,156,out
325,13.0,L,car,171,out
325,13.0,L,car,77,out
325,13.0,L,car,143,out
325,13.0,L,car,92,out
325,13.0,L,car,127,out
325,13.0,L,car,134,out
325,13.0,L,car,181,out
325,13.0,L,car,214,out
350,14.0,L,car,92,in
350,14.0,L,car,127,in
350,14.0,L,car,134,in
350,14.0,L,car,238,in
350,14.0,L,car,245,in
350,14.0,R,car,251,in
350,14.0,L,car,252,in
350,14.0,R,car,254,in
350,14.0,L,car,257,in
350,14.0,L,truck,99,out
350,14.0,L,car,135,out
350,14.0,L,bus,209,out
350,14.0,L,car,126,out
350,14.0,L,car,162,out
350,14.0,L,car,176,out
350,14.0,L,car,185,out
350,14.0,L,car,199,out
350,14.0,L,car,227,out
375,15.0,L,car,143,in
375,15.0,L,car,150,in
375,15.0,L,car,185,in
375,15.0,L,bus,209,in
375,15.0,L,car,263,in
375,15.0,L,car,278,in
375,15.0,L,car,284,in
375,15.0,L,car,285,in
375,15.0,L,car,92,out
375,15.0,L,car,134,out
375,15.0,L,car,238,out
375,15.0,L,car,245,out
375,15.0,L,car,252,out
375,15.0,R,car,254,out
375,15.0,L,car,257,out
400,16.0,L,truck,191,in
400,16.0,L,car,221,in
400,16.0,R,truck,288,in
400,16.0,L,car,290,in
