frame_index,time,road,vehicle_class,vehicle_id,speed,interval_time,lane
20,0.8,L,car,1,96.42857142857142,0,m
35,1.4,L,car,5,84.375,0,l
63,2.52,L,car,11,96.42857142857142,1.12,l
201,8.04,L,car,44,112.5,7.24,m
203,8.12,L,car,44,1350.0,0.08,m
257,10.28,L,bus,161,103.84615384615384,0,r
266,10.64,L,car,80,84.375,2.52,m
272,10.88,R,car,156,112.5,8.36,l
294,11.76,L,car,125,84.375,1.12,m
296,11.84,L,car,171,79.41176470588235,0.96,l
320,12.8,L,car,135,79.41176470588235,1.04,m
332,13.28,L,car,227,84.375,1.44,l
340,13.6,R,bus,209,90.0,3.32,r
342,13.68,L,car,92,90.0,0.88,m
342,13.68,L,truck,99,64.28571428571429,0.0,m
345,13.8,L,truck,99,675.0,0.2,r
356,14.24,L,car,255,112.5,0.96,l
371,14.84,L,car,263,90.0,1.16,m
372,14.88,R,car,251,84.375,0.64,l
383,15.32,L,car,185,79.41176470588235,0.44,l
405,16.2,L,truck,288,225.0,0.88,l
416,16.64,L,car,143,75.0,1.8,m
417,16.68,R,truck,300,79.41176470588235,2.88,r
420,16.8,R,truck,300,1350.0,0.12,r
430,17.2,L,car,231,84.375,1.0,l
433,17.32,R,truck,288,64.28571428571429,0.52,r
445,17.8,R,car,316,103.84615384615384,0.6,l
456,18.24,L,car,326,96.42857142857142,0.44,l
468,18.72,L,car,338,150.0,2.08,m
479,19.16,L,car,291,84.375,0.92,l
534,21.36,R,car,352,61.36363636363637,4.04,r
536,21.44,L,car,150,75.0,2.72,m
549,21.96,R,truck,368,67.5,0.6,r
600,24.0,L,car,390,96.42857142857142,4.84,l
689,27.56,L,car,446,96.42857142857142,3.56,l
714,28.56,L,car,478,75.0,1.0,l
731,29.24,L,car,330,71.05263157894737,7.28,r
734,29.36,L,car,468,90.0,7.92,m
741,29.64,L,car,406,43.54838709677419,0.4,r
759,30.36,L,car,450,75.0,1.0,m
779,31.16,L,car,484,71.05263157894737,1.52,r
783,31.32,L,car,463,103.84615384615384,2.76,l
798,31.92,L,car,519,90.0,0.6,l
814,32.56,L,truck,524,79.41176470588235,1.4,r
859,34.36,L,truck,497,75.0,4.0,m
911,36.44,L,car,568,96.42857142857142,2.08,m
920,36.8,L,car,597,90.0,4.88,l
927,37.08,R,car,602,122.72727272727273,0.28,l
968,38.72,L,car,607,96.42857142857142,6.16,r
970,38.8,R,car,630,64.28571428571429,0.08,r
976,39.04,L,car,550,84.375,1.96,l
994,39.76,L,truck,582,79.41176470588235,3.32,m
1051,42.04,L,car,654,103.84615384615384,3.0,l
1117,44.68,L,truck,643,58.69565217391304,4.92,m
1148,45.92,L,car,718,79.41176470588235,1.24,m
1181,47.24,L,car,731,90.0,5.2,l
1276,51.04,L,car,778,90.0,3.8,l
1296,51.84,L,car,784,84.375,5.92,m
1326,53.04,L,car,833,122.72727272727273,14.24,r
1349,53.96,L,car,840,103.84615384615384,2.92,l
1351,54.04,L,car,818,192.85714285714283,0.08,l
1368,54.72,L,car,819,71.05263157894737,1.68,r
1398,55.92,L,car,880,75.0,1.88,l
1414,56.56,L,truck,890,150.0,4.72,m
1415,56.6,L,truck,881,96.42857142857142,0.04,m
1437,57.48,L,car,893,79.41176470588235,1.56,l
1442,57.68,L,car,843,84.375,1.08,m
1461,58.44,L,car,875,112.5,3.72,r
1494,59.76,L,car,901,103.84615384615384,1.32,r
1508,60.32,L,truck,931,84.375,2.64,m
1519,60.76,L,car,882,71.05263157894737,3.28,l
1520,60.8,L,car,930,90.0,1.04,r
1556,62.24,L,car,895,96.42857142857142,1.44,r
1556,62.24,L,car,957,90.0,1.48,l
1577,63.08,L,car,937,84.375,2.76,m
1604,64.16,R,car,969,103.84615384615384,1.08,m
1609,64.36,L,car,934,84.375,2.12,l
1643,65.72,R,car,983,168.75,1.36,l
1645,65.8,L,car,987,90.0,0.08,l
1672,66.88,R,car,994,103.84615384615384,2.72,m
1678,67.12,L,car,970,90.0,1.32,l
1700,68.0,R,car,998,103.84615384615384,1.12,m
1729,69.16,R,car,1007,112.5,6.92,r
1746,69.84,L,car,1018,96.42857142857142,2.72,l
1789,71.56,L,car,1004,96.42857142857142,2.4,r
1894,75.76,L,car,1052,96.42857142857142,5.92,l
1970,78.8,L,car,1071,270.0,3.04,l
2035,81.4,L,car,1072,112.5,13.4,m
2070,82.8,R,car,1097,225.0,4.0,l
2125,85.0,R,car,1108,103.84615384615384,3.6,m
2141,85.64,L,car,1140,103.84615384615384,2.84,l
2168,86.72,L,car,1115,90.0,1.72,m
2169,86.76,L,bus,1146,71.05263157894737,15.2,r
2176,87.04,L,car,1105,103.84615384615384,1.4,l
2216,88.64,L,car,1136,135.0,1.92,m
2220,88.8,L,car,1172,112.5,1.76,l
2257,90.28,L,car,1199,122.72727272727273,1.64,m
2276,91.04,L,car,1206,112.5,2.24,l
2325,93.0,L,car,1244,122.72727272727273,1.96,l
2338,93.52,L,car,1246,90.0,3.24,m
2378,95.12,L,car,1271,96.42857142857142,2.12,l
2401,96.04,R,car,1297,71.05263157894737,2.52,m
2408,96.32,L,car,1304,675.0,1.2,l
2414,96.56,R,car,1299,103.84615384615384,0.24,l
2423,96.92,R,car,1324,122.72727272727273,0.36,l
2452,98.08,R,car,1329,84.375,1.16,l
2456,98.24,L,truck,1326,1350.0,0.16,l
2472,98.88,R,truck,1326,112.5,12.12,r
2490,99.6,L,car,1344,103.84615384615384,3.56,m
2550,102.0,R,car,1402,103.84615384615384,2.4,m
2558,102.32,L,car,1360,112.5,0.32,m
2587,103.48,L,car,1399,103.84615384615384,1.16,m
2595,103.8,R,car,1424,96.42857142857142,0.32,m
2606,104.24,R,car,1432,225.0,6.0,l
2614,104.56,R,car,1423,67.5,5.68,r
2617,104.68,L,truck,1393,75.0,0.12,r
2689,107.56,L,truck,1467,1350.0,3.32,l
2700,108.0,R,car,1463,103.84615384615384,4.2,m
2705,108.2,R,truck,1467,103.84615384615384,3.52,r
2744,109.76,L,car,1479,103.84615384615384,2.2,l
2789,111.56,R,car,1504,112.5,3.56,m
2796,111.84,L,car,1497,96.42857142857142,0.28,m
2829,113.16,R,car,1557,1350.0,3.4,l
2841,113.64,R,car,1543,90.0,5.44,r
2846,113.84,L,car,1575,1350.0,0.68,l
2863,114.52,L,truck,1510,79.41176470588235,2.68,m
2882,115.28,L,car,1601,103.84615384615384,1.44,l
2901,116.04,L,car,1600,96.42857142857142,0.76,l
2935,117.4,L,car,1535,90.0,2.88,m
2961,118.44,L,car,1552,90.0,2.4,l
2962,118.48,L,car,1632,103.84615384615384,4.84,r
2974,118.96,L,truck,1590,84.375,1.56,m
3021,120.84,L,car,1680,90.0,2.4,l
3026,121.04,L,car,1642,103.84615384615384,2.56,r
3060,122.4,L,car,1705,96.42857142857142,1.56,l
3061,122.44,L,car,1643,90.0,3.48,m
3084,123.36,L,car,1700,90.0,0.96,l
3135,125.4,L,car,1681,96.42857142857142,4.36,r
3138,125.52,R,car,1738,135.0,2.16,l
3148,125.92,L,car,1735,96.42857142857142,0.4,l
3168,126.72,L,car,1720,90.0,4.28,m
3177,127.08,L,car,1741,90.0,1.16,l
3202,128.08,L,car,1728,90.0,2.68,r
3249,129.96,L,car,1773,1350.0,2.88,l
3260,130.4,R,car,1773,150.0,0.44,l
3262,130.48,R,car,1773,1350.0,0.08,l
3264,130.56,R,car,1773,1350.0,0.08,l
3287,131.48,R,bus,1781,79.41176470588235,3.4,r
3310,132.4,L,car,1749,84.375,0.92,r
3347,133.88,L,car,1826,96.42857142857142,3.32,l
3396,135.84,L,car,1830,112.5,1.96,l
3404,136.16,L,car,1857,112.5,9.44,m
3451,138.04,R,truck,1868,71.05263157894737,5.64,r
3457,138.28,R,car,1875,103.84615384615384,2.12,m
3514,140.56,R,truck,1898,51.92307692307692,2.52,r
3515,140.6,R,car,1899,84.375,0.04,r
3517,140.68,L,car,1891,103.84615384615384,4.84,l
3574,142.96,L,bus,1867,96.42857142857142,4.68,m
3576,143.04,L,bus,1867,1350.0,0.08,m
3600,144.0,R,car,1934,90.0,3.4,r
3623,144.92,R,car,1943,90.0,1.88,m
3629,145.16,R,truck,1949,135.0,0.24,m
3687,147.48,L,bus,1970,1350.0,6.8,l
3689,147.56,L,truck,1929,90.0,2.4,m
3700,148.0,R,bus,1970,112.5,0.52,l
3705,148.2,R,bus,1970,675.0,0.2,l
3718,148.72,R,bus,1977,51.92307692307692,4.72,r
3750,150.0,L,car,1975,90.0,1.8,l
3794,151.76,L,car,2021,75.0,1.76,l
3844,153.76,R,car,2029,48.21428571428571,5.04,r
3847,153.88,L,car,2038,96.42857142857142,2.12,l
3895,155.8,R,car,2054,112.5,1.92,l
3924,156.96,R,truck,2071,84.375,3.2,r
3944,157.76,L,car,2078,103.84615384615384,1.96,l
3976,159.04,L,car,2100,122.72727272727273,1.28,l
3979,159.16,R,car,2095,71.05263157894737,2.2,r
3983,159.32,L,truck,2077,61.36363636363637,0.16,r
3983,159.32,R,car,2106,90.0,11.76,m
4003,160.12,L,car,2146,84.375,1.08,l
4030,161.2,L,car,2207,1350.0,1.08,l
4050,162.0,L,car,2196,90.0,0.8,l
4053,162.12,R,car,2179,75.0,2.8,r
4067,162.68,L,truck,2161,90.0,3.36,m
4076,163.04,L,car,2232,75.0,1.04,l
4094,163.76,R,car,2228,71.05263157894737,1.08,m
4103,164.12,L,car,2184,79.41176470588235,0.36,m
4107,164.28,L,car,2244,90.0,1.24,l
4126,165.04,R,car,2273,79.41176470588235,0.92,m
4137,165.48,L,car,2325,450.0,1.2,l
4148,165.92,L,car,2298,45.0,0.88,m
4159,166.36,L,truck,2200,75.0,4.24,r
4159,166.36,R,car,2314,64.28571428571429,0.0,r
4180,167.2,L,car,2333,90.0,1.72,l
4210,168.4,L,car,2301,75.0,2.48,m
4263,170.52,L,car,2307,79.41176470588235,2.12,m
4275,171.0,L,car,2411,96.42857142857142,3.8,l
4281,171.24,L,car,2247,67.5,4.88,r
4292,171.68,L,car,2338,84.375,1.16,m
4332,173.28,L,car,2363,84.375,1.6,m
4338,173.52,L,car,2405,112.5,2.52,l
4377,175.08,L,car,2444,84.375,1.56,l
4387,175.48,L,truck,2425,71.05263157894737,2.2,m
4400,176.0,L,car,2509,79.41176470588235,0.92,l
4413,176.52,L,car,2458,75.0,5.28,r
4420,176.8,L,car,2507,84.375,0.8,l
4429,177.16,L,car,2446,103.84615384615384,0.64,r
4429,177.16,L,truck,2544,225.0,0.0,r
4448,177.92,L,car,2504,75.0,2.44,m
4465,178.6,L,car,2547,90.0,1.8,l
4498,179.92,L,car,2513,90.0,2.76,r
4512,180.48,L,car,2448,79.41176470588235,2.56,m
4545,181.8,L,car,2567,96.42857142857142,3.2,l
4595,183.8,L,car,2543,79.41176470588235,3.32,m
4633,185.32,L,car,2620,103.84615384615384,5.4,r
4637,185.48,L,truck,2557,79.41176470588235,1.68,m
4652,186.08,L,car,2630,84.375,4.28,l
4664,186.56,L,car,2628,90.0,1.08,m
4685,187.4,L,car,2605,84.375,0.84,m
4693,187.72,L,truck,2604,75.0,2.4,r
4718,188.72,L,car,2619,79.41176470588235,1.32,m
4724,188.96,L,car,2698,96.42857142857142,2.88,l
4739,189.56,L,car,2691,79.41176470588235,0.84,m
4745,189.8,L,car,2681,90.0,0.84,l
4764,190.56,L,car,2663,79.41176470588235,1.0,m
4796,191.84,R,car,2737,96.42857142857142,1.28,m
4798,191.92,L,car,2750,96.42857142857142,2.12,l
4799,191.96,L,car,2753,192.85714285714283,0.04,l
4800,192.0,L,car,2731,84.375,4.28,r
4807,192.28,L,car,2715,75.0,0.44,m
4807,192.28,L,car,2721,1350.0,0.32,l
4831,193.24,R,car,2756,90.0,0.96,m
4840,193.6,L,car,2766,90.0,1.32,l
4842,193.68,L,car,2761,84.375,0.08,l
4857,194.28,L,car,2686,96.42857142857142,2.28,r
4862,194.48,L,car,2780,67.5,0.8,l
4870,194.8,L,car,2788,79.41176470588235,1.56,m
4888,195.52,L,car,2727,79.41176470588235,1.04,l
4902,196.08,R,truck,2796,90.0,1.8,r
4923,196.92,R,car,2822,90.0,2.12,m
4942,197.68,L,car,2751,79.41176470588235,2.16,l
4944,197.76,R,car,2827,103.84615384615384,1.68,r
4955,198.2,L,car,2805,84.375,1.28,m
4986,199.44,R,car,2855,103.84615384615384,1.24,m
5030,201.2,L,car,2808,90.0,1.76,m
5073,202.92,R,truck,2908,150.0,1.72,m
5112,204.48,L,car,2896,90.0,1.56,m
5117,204.68,L,car,2859,90.0,7.0,l
5142,205.68,L,truck,2923,71.05263157894737,7.92,r
5156,206.24,L,car,2869,96.42857142857142,1.76,m
5198,207.92,L,car,2880,79.41176470588235,1.68,m
5223,208.92,L,car,2948,90.0,4.24,l
5275,211.0,L,car,3020,112.5,5.32,r
5278,211.12,L,car,2965,79.41176470588235,3.2,m
5279,211.16,L,car,3023,84.375,2.24,l
5321,212.84,L,car,2955,84.375,1.72,m
5336,213.44,L,car,3045,90.0,2.28,l
5379,215.16,L,car,3060,96.42857142857142,1.72,l
5380,215.2,L,truck,3061,270.0,0.04,l
5398,215.92,L,car,3068,96.42857142857142,0.72,l
5491,219.64,L,truck,3053,71.05263157894737,8.64,r
5549,221.96,L,car,3099,96.42857142857142,9.12,m
5556,222.24,L,car,3139,112.5,6.32,l
5596,223.84,R,truck,3148,150.0,4.2,r
5697,227.88,L,car,3194,103.84615384615384,5.64,l
5751,230.04,L,car,3226,75.0,2.16,l
5800,232.0,L,car,3255,67.5,1.96,l
5802,232.08,L,car,3208,103.84615384615384,0.08,l
5832,233.28,L,car,3278,71.05263157894737,1.2,l
5834,233.36,L,car,3288,450.0,0.08,l
5861,234.44,L,car,3254,75.0,12.48,m
5908,236.32,L,car,3328,75.0,2.96,l
5922,236.88,L,car,3291,75.0,2.44,m
5932,237.28,L,truck,3341,450.0,0.96,l
5944,237.76,L,car,3344,75.0,0.48,l
5956,238.24,L,car,3338,90.0,14.4,r
5959,238.36,L,car,3290,79.41176470588235,1.48,m
5976,239.04,R,car,3360,71.05263157894737,0.8,r
5984,239.36,L,car,3368,71.05263157894737,1.6,l
6006,240.24,L,car,3333,75.0,1.88,m
6027,241.08,L,car,3381,67.5,1.72,l
6101,244.04,L,car,3445,71.05263157894737,2.96,l
6145,245.8,L,car,3392,71.05263157894737,5.56,m
6189,247.56,L,car,3475,75.0,1.76,m
6367,254.68,L,car,3532,90.0,10.64,l
