frame_index,time,vehicle_num,vehicle_num_l,vehicle_num_r
0,0.0,0,0,0
25,1.0,4,3,1
50,2.0,4,4,0
75,3.0,1,1,0
100,4.0,0,0,0
125,5.0,2,2,0
150,6.0,0,0,0
175,7.0,1,1,0
200,8.0,6,6,0
225,9.0,11,11,0
250,10.0,13,12,1
275,11.0,14,13,1
300,12.0,14,13,1
325,13.0,11,11,0
350,14.0,11,9,2
375,15.0,12,11,1
400,16.0,14,11,3
425,17.0,10,5,5
450,18.0,10,6,4
475,19.0,9,7,2
500,20.0,7,5,2
525,21.0,5,3,2
550,22.0,3,2,1
575,23.0,3,3,0
600,24.0,3,3,0
625,25.0,6,6,0
650,26.0,7,7,0
675,27.0,11,11,0
700,28.0,11,11,0
725,29.0,9,8,1
750,30.0,6,6,0
775,31.0,5,5,0
800,32.0,6,6,0
825,33.0,4,4,0
850,34.0,3,3,0
875,35.0,4,4,0
900,36.0,8,8,0
925,37.0,6,6,0
950,38.0,6,4,2
975,39.0,8,7,1
1000,40.0,7,7,0
1025,41.0,2,2,0
1050,42.0,6,4,2
1075,43.0,5,3,2
1100,44.0,4,3,1
1125,45.0,3,2,1
1150,46.0,3,3,0
1175,47.0,2,2,0
1200,48.0,4,4,0
1225,49.0,5,4,1
1250,50.0,7,7,0
1275,51.0,5,5,0
1300,52.0,4,4,0
1325,53.0,6,5,1
1350,54.0,3,3,0
1375,55.0,5,5,0
1400,56.0,3,3,0
1425,57.0,9,9,0
1450,58.0,7,7,0
1475,59.0,5,5,0
1500,60.0,7,7,0
1525,61.0,6,6,0
1550,62.0,5,5,0
1575,63.0,5,5,0
1600,64.0,4,3,1
1625,65.0,4,3,1
1650,66.0,6,4,2
1675,67.0,6,2,4
1700,68.0,5,2,3
1725,69.0,5,3,2
1750,70.0,4,2,2
1775,71.0,1,1,0
1800,72.0,1,1,0
1825,73.0,0,0,0
1850,74.0,1,1,0
1875,75.0,2,2,0
1900,76.0,0,0,0
1925,77.0,0,0,0
1950,78.0,0,0,0
1975,79.0,2,2,0
2000,80.0,1,1,0
2025,81.0,1,1,0
2050,82.0,1,1,0
2075,83.0,1,1,0
2100,84.0,3,1,2
2125,85.0,5,4,1
2150,86.0,10,9,1
2175,87.0,10,7,3
2200,88.0,5,4,1
2225,89.0,7,6,1
2250,90.0,4,4,0
2275,91.0,6,6,0
2300,92.0,3,3,0
2325,93.0,4,4,0
2350,94.0,4,4,0
2375,95.0,4,3,1
2400,96.0,4,2,2
2425,97.0,7,4,3
2450,98.0,7,3,4
2475,99.0,6,3,3
2500,100.0,5,3,2
2525,101.0,6,4,2
2550,102.0,5,3,2
2575,103.0,8,4,4
2600,104.0,10,5,5
2625,105.0,3,1,2
2650,106.0,3,1,2
2675,107.0,2,0,2
2700,108.0,3,1,2
2725,109.0,3,2,1
2750,110.0,3,1,2
2775,111.0,8,5,3
2800,112.0,7,4,3
2825,113.0,9,5,4
2850,114.0,8,6,2
2875,115.0,8,6,2
2900,116.0,10,7,3
2925,117.0,8,5,3
2950,118.0,8,5,3
2975,119.0,10,8,2
3000,120.0,6,6,0
3025,121.0,9,9,0
3050,122.0,6,6,0
3075,123.0,7,7,0
3100,124.0,6,6,0
3125,125.0,7,7,0
3150,126.0,8,8,0
3175,127.0,5,4,1
3200,128.0,3,3,0
3225,129.0,1,1,0
3250,130.0,3,3,0
3275,131.0,4,2,2
3300,132.0,3,3,0
3325,133.0,3,3,0
3350,134.0,3,3,0
3375,135.0,3,3,0
3400,136.0,4,4,0
3425,137.0,4,2,2
3450,138.0,5,4,1
3475,139.0,5,4,1
3500,140.0,5,4,1
3525,141.0,5,4,1
3550,142.0,7,4,3
3575,143.0,4,3,1
3600,144.0,6,4,2
3625,145.0,1,0,1
3650,146.0,6,3,3
3675,147.0,10,7,3
3700,148.0,8,4,4
3725,149.0,1,1,0
3750,150.0,3,3,0
3775,151.0,3,3,0
3800,152.0,2,2,0
3825,153.0,3,3,0
3850,154.0,3,3,0
3875,155.0,3,3,0
3900,156.0,2,1,1
3925,157.0,3,3,0
3950,158.0,7,5,2
3975,159.0,7,5,2
4000,160.0,8,5,3
4025,161.0,9,6,3
4050,162.0,14,9,5
4075,163.0,11,7,4
4100,164.0,14,10,4
4125,165.0,13,9,4
4150,166.0,13,9,4
4175,167.0,13,8,5
4200,168.0,10,8,2
4225,169.0,8,4,4
4250,170.0,9,7,2
4275,171.0,8,7,1
4300,172.0,7,6,1
4325,173.0,7,7,0
4350,174.0,9,9,0
4375,175.0,10,10,0
4400,176.0,13,13,0
4425,177.0,11,11,0
4450,178.0,8,8,0
4475,179.0,8,7,1
4500,180.0,7,7,0
4525,181.0,5,5,0
4550,182.0,5,5,0
4575,183.0,3,3,0
4600,184.0,7,7,0
4625,185.0,9,9,0
4650,186.0,13,13,0
4675,187.0,14,14,0
4700,188.0,10,10,0
4725,189.0,11,11,0
4750,190.0,8,8,0
4775,191.0,10,9,1
4800,192.0,11,9,2
4825,193.0,12,10,2
4850,194.0,11,7,4
4875,195.0,11,9,2
4900,196.0,7,5,2
4925,197.0,9,7,2
4950,198.0,8,5,3
4975,199.0,8,5,3
5000,200.0,7,5,2
5025,201.0,5,3,2
5050,202.0,8,5,3
5075,203.0,5,4,1
5100,204.0,9,7,2
5125,205.0,7,7,0
5150,206.0,7,6,1
5175,207.0,6,6,0
5200,208.0,7,7,0
5225,209.0,7,7,0
5250,210.0,9,9,0
5275,211.0,5,5,0
5300,212.0,5,5,0
5325,213.0,3,3,0
5350,214.0,4,4,0
5375,215.0,5,4,1
5400,216.0,3,3,0
5425,217.0,1,1,0
5450,218.0,2,2,0
5475,219.0,2,2,0
5500,220.0,2,2,0
5525,221.0,1,1,0
5550,222.0,2,2,0
5575,223.0,3,3,0
5600,224.0,1,1,0
5625,225.0,1,1,0
5650,226.0,0,0,0
5675,227.0,0,0,0
5700,228.0,0,0,0
5725,229.0,0,0,0
5750,230.0,0,0,0
5775,231.0,2,2,0
5800,232.0,3,3,0
5825,233.0,2,2,0
5850,234.0,5,5,0
5875,235.0,6,6,0
5900,236.0,4,4,0
5925,237.0,6,5,1
5950,238.0,7,6,1
5975,239.0,7,6,1
6000,240.0,4,3,1
6025,241.0,4,3,1
6050,242.0,3,3,0
6075,243.0,1,1,0
6100,244.0,3,3,0
6125,245.0,3,3,0
6150,246.0,4,4,0
6175,247.0,1,1,0
6200,248.0,2,2,0
6225,249.0,1,1,0
6250,250.0,0,0,0
6275,251.0,0,0,0
6300,252.0,0,0,0
6325,253.0,1,1,0
6350,254.0,2,2,0
6375,255.0,3,3,0
6400,256.0,2,2,0
6425,257.0,2,2,0
6450,258.0,2,2,0
6475,259.0,2,1,1
