frame_index,time,road,lane,vehicle_class,vehicle_id,event_type,duration
12503,500.12,R,r,truck,5387,cruise,"0,12"
12706,508.24,R,l,car,5440,cruise,"0,12"
12759,510.36,L,r,truck,5446,cruise,"0,12"
12871,514.84,L,r,truck,5536,overdrive,"0,12"
12880,515.2,R,r,car,5507,cruise,"0,12"
13052,522.08,R,r,truck,5605,cruise,"0,12"
13319,532.76,L,r,truck,5680,cruise,"0,12"
13684,547.36,L,m,car,5779,overdrive,"0,12"
13905,556.2,L,m,car,5923,overdrive,"0,12"
14347,573.88,L,m,car,6165,overdrive,"0,12"
14414,576.56,L,m,car,6221,overdrive,"0,12"
14484,579.36,R,r,bus,6273,cruise,"0,12"
14685,587.4,L,m,car,6367,overdrive,"0,12"
14842,593.68,R,r,truck,6491,cruise,"0,12"
15139,605.56,L,m,car,6658,overdrive,"0,12"
15216,608.64,L,m,car,6739,overdrive,"0,12"
15252,610.08,R,r,truck,6756,cruise,"0,12"
15261,610.44,L,m,car,6771,overdrive,"0,12"
15463,618.52,L,r,truck,6872,overdrive,"0,12"
15622,624.88,L,m,bus,6936,overdrive,"0,12"
15631,625.24,R,l,bus,6935,cruise,"0,12"
16321,652.84,R,r,truck,7232,cruise,"0,12"
16786,671.44,R,m,truck,7481,cruise,"0,12"
16884,675.36,L,m,truck,7531,overdrive,"0,12"
17034,681.36,L,m,car,7582,overdrive,"0,12"
17071,682.84,L,r,car,7598,overdrive,"0,12"
17072,682.88,L,m,car,7583,overdrive,"0,12"
17110,684.4,R,l,car,7606,overdrive,"0,12"
17218,688.72,R,l,car,7633,overdrive,"0,12"
17307,692.28,R,r,truck,7660,overdrive,"0,12"
17478,699.12,L,m,car,7714,overdrive,"0,12"
17595,703.8,R,m,bus,7745,overdrive,"0,12"
17850,714,R,m,car,7879,overdrive,"0,12"
17920,716.8,L,m,truck,7957,overdrive,"0,12"
17963,718.52,L,l,car,7919,overdrive,"0,12"
18131,725.24,L,l,car,8057,overdrive,"12,24"
18145,725.8,R,l,car,8104,overdrive,"12,24"
18191,727.64,L,r,truck,8061,cruise,"12,24"
18320,732.8,R,l,car,8225,overdrive,"12,24"
18374,734.96,L,m,car,8249,overdrive,"12,24"
18593,743.72,R,m,truck,8360,overdrive,"12,24"
18601,744.04,R,r,truck,8369,overdrive,"12,24"
18635,745.4,R,m,bus,8372,overdrive,"12,24"
18638,745.52,L,m,car,8376,overdrive,"12,24"
18791,751.64,L,r,car,8434,cruise,"12,24"
18800,752,L,r,bus,8444,cruise,"12,24"
18939,757.56,R,m,truck,8535,cruise,"12,24"
19073,762.92,L,m,car,8583,overdrive,"12,24"
19142,765.68,L,m,car,8621,overdrive,"12,24"
19169,766.76,L,m,car,8628,overdrive,"12,24"
19348,773.92,L,m,car,8723,overdrive,"12,24"
19478,779.12,R,r,truck,8745,cruise,"12,24"
19644,785.76,R,l,car,8807,overdrive,"12,24"
20246,809.84,L,r,truck,8974,cruise,"12,24"
20579,823.16,L,m,car,9143,overdrive,"12,24"
20834,833.36,L,m,car,9259,overdrive,"12,24"
20881,835.24,L,m,car,9271,overdrive,"12,24"
21142,845.68,R,m,truck,9390,cruise,"12,24"
21423,856.92,L,m,car,9506,overdrive,"12,24"
21560,862.4,L,m,car,9560,overdrive,"12,24"
21595,863.8,L,m,car,9577,overdrive,"12,24"
21633,865.32,L,r,car,9574,cruise,"12,24"
21701,868.04,L,m,car,9638,overdrive,"12,24"
21719,868.76,L,m,car,9667,overdrive,"12,24"
21819,872.76,L,m,car,9731,overdrive,"12,24"
21855,874.2,R,r,bus,9739,cruise,"12,24"
22329,893.16,R,r,car,9941,overdrive,"12,24"
22468,898.72,L,m,car,9992,overdrive,"12,24"
22493,899.72,L,m,car,10016,overdrive,"12,24"
22525,901,L,r,truck,9987,cruise,"12,24"
22727,909.08,L,m,car,10151,overdrive,"12,24"
23037,921.48,L,m,car,10302,overdrive,"12,24"
23041,921.64,R,l,truck,10299,cruise,"12,24"
23133,925.32,L,m,car,10340,overdrive,"12,24"
23243,929.72,L,l,car,10409,overdrive,"12,24"
23247,929.88,L,r,car,10410,overdrive,"12,24"
23358,934.32,L,m,car,10505,overdrive,"12,24"
23461,938.44,R,m,truck,10562,cruise,"12,24"
23483,939.32,L,m,car,10582,overdrive,"12,24"
23603,944.12,R,r,truck,10554,cruise,"12,24"
23678,947.12,L,m,car,10674,overdrive,"12,24"
23795,951.8,L,r,car,10728,cruise,"12,24"
23813,952.52,L,m,car,10743,overdrive,"12,24"
23838,953.52,L,m,car,10769,overdrive,"12,24"
23886,955.44,R,m,car,10784,cruise,"12,24"
23923,956.92,L,m,car,10808,overdrive,"12,24"
24432,977.28,R,m,bus,11002,cruise,"12,24"
24459,978.36,R,m,truck,11019,cruise,"12,24"
25033,1001.32,R,r,car,11287,cruise,"12,24"
25227,1009.08,R,m,truck,11389,cruise,"12,24"
25416,1016.64,R,r,car,11505,cruise,"12,24"
25442,1017.68,L,m,car,11520,overdrive,"12,24"
25526,1021.04,R,m,car,11607,overdrive,"12,24"
25884,1035.36,L,m,car,11786,overdrive,"12,24"
26111,1044.44,R,r,truck,11923,cruise,"12,24"
26153,1046.12,R,r,truck,11938,cruise,"12,24"
26189,1047.56,L,m,car,11987,overdrive,"12,24"
26306,1052.24,R,m,truck,12047,overdrive,"12,24"
26427,1057.08,L,m,car,12096,overdrive,"12,24"
26429,1057.16,L,r,truck,12107,cruise,"12,24"
26473,1058.92,L,m,car,12120,overdrive,"12,24"
26635,1065.4,L,m,truck,12260,overdrive,"12,24"
26945,1077.8,L,m,truck,12493,overdrive,"12,24"
27064,1082.56,L,r,car,12501,cruise,"12,24"
27070,1082.8,L,r,truck,12570,cruise,"12,24"
27261,1090.44,L,m,car,12641,overdrive,"12,24"
27286,1091.44,L,m,car,12665,overdrive,"12,24"
27407,1096.28,L,m,car,12733,overdrive,"12,24"
27408,1096.32,R,m,car,12747,overdrive,"12,24"
27419,1096.76,R,r,car,12739,cruise,"12,24"
27614,1104.56,R,r,car,12837,overdrive,"12,24"
28153,1126.12,L,m,car,13140,overdrive,"12,24"
28263,1130.52,L,r,bus,13201,cruise,"12,24"
28318,1132.72,L,l,car,13219,overdrive,"12,24"
28601,1144.04,L,r,truck,13394,overdrive,"12,24"
28694,1147.76,L,m,car,13449,overdrive,"12,24"
28731,1149.24,L,r,truck,13480,overdrive,"12,24"
28766,1150.64,L,m,car,13484,overdrive,"12,24"
29113,1164.52,R,r,truck,13664,cruise,"12,24"
29236,1169.44,R,r,car,13729,cruise,"12,24"
29319,1172.76,R,r,truck,13792,cruise,"12,24"
29355,1174.2,R,m,bus,13822,cruise,"12,24"
29361,1174.44,R,r,truck,13817,cruise,"12,24"
29410,1176.4,R,r,truck,13876,cruise,"12,24"
29436,1177.44,L,r,truck,13906,overdrive,"12,24"
29889,1195.56,R,l,truck,14138,overdrive,"12,24"
30000,1200,L,r,truck,14147,cruise,"12,24"
30098,1203.92,L,m,car,14208,overdrive,"12,24"
30215,1208.6,L,l,car,14282,overdrive,"12,24"
30248,1209.92,L,m,car,14351,overdrive,"12,24"
30260,1210.4,R,m,truck,14340,cruise,"12,24"
30426,1217.04,L,m,car,14461,overdrive,"12,24"
30437,1217.48,L,m,car,14459,overdrive,"12,24"
30609,1224.36,R,r,car,14623,cruise,"12,24"
30761,1230.44,L,m,car,14713,overdrive,"12,24"
30909,1236.36,L,r,truck,14761,overdrive,"12,24"
31330,1253.2,R,l,car,15049,overdrive,"12,24"
31378,1255.12,L,m,car,15058,overdrive,"12,24"
31386,1255.44,L,m,car,15060,overdrive,"12,24"
31402,1256.08,R,r,truck,15059,cruise,"12,24"
31457,1258.28,L,m,car,15111,overdrive,"12,24"
31561,1262.44,R,l,truck,15161,overdrive,"12,24"
31613,1264.52,L,m,car,15176,overdrive,"12,24"
31675,1267,L,m,car,15199,overdrive,"12,24"
31710,1268.4,L,m,car,15216,overdrive,"12,24"
31743,1269.72,R,l,truck,15247,overdrive,"12,24"
31750,1270,L,m,car,15244,overdrive,"12,24"
31788,1271.52,R,m,car,15305,overdrive,"12,24"
31824,1272.96,R,r,truck,15335,overdrive,"12,24"
31925,1277,L,m,car,15362,overdrive,"12,24"
32088,1283.52,L,m,car,15393,overdrive,"12,24"
32161,1286.44,L,m,car,15428,overdrive,"12,24"
32178,1287.12,R,r,car,15447,cruise,"12,24"
32232,1289.28,L,m,car,15470,overdrive,"12,24"
32405,1296.2,R,m,truck,15534,overdrive,"12,24"
32422,1296.88,L,m,car,15547,overdrive,"12,24"
32427,1297.08,R,r,bus,15548,overdrive,"12,24"
32463,1298.52,L,m,car,15573,overdrive,"12,24"
32579,1303.16,R,r,truck,15622,cruise,"12,24"
32585,1303.4,L,m,car,15653,overdrive,"12,24"
32784,1311.36,L,m,car,15765,overdrive,"12,24"
32827,1313.08,L,m,car,15776,overdrive,"12,24"
32852,1314.08,L,m,car,15800,overdrive,"12,24"
32999,1319.96,L,m,car,15858,overdrive,"12,24"
33053,1322.12,L,m,car,15904,overdrive,"12,24"
33169,1326.76,R,m,truck,15995,overdrive,"12,24"
33359,1334.36,L,m,car,16053,overdrive,"12,24"
33510,1340.4,L,r,car,16165,cruise,"12,24"
33633,1345.32,L,m,truck,16236,overdrive,"12,24"
33644,1345.76,L,l,car,16229,overdrive,"12,24"
33890,1355.6,L,r,truck,16364,overdrive,"12,24"
33963,1358.52,L,r,truck,16348,cruise,"12,24"
34088,1363.52,L,m,car,16428,overdrive,"12,24"
34204,1368.16,L,r,car,16430,cruise,"12,24"
34288,1371.52,R,m,truck,16545,overdrive,"12,24"
34498,1379.92,L,m,car,16607,overdrive,"12,24"
34529,1381.16,R,m,car,16622,overdrive,"12,24"
34733,1389.32,L,m,car,16672,overdrive,"12,24"
34792,1391.68,L,r,car,16689,overdrive,"12,24"
34868,1394.72,L,m,car,16719,overdrive,"12,24"
35218,1408.72,R,m,truck,16833,cruise,"12,24"
35283,1411.32,R,r,truck,16866,cruise,"12,24"
35379,1415.16,R,r,car,16908,cruise,"12,24"
35475,1419,R,l,truck,16982,cruise,"12,24"
35497,1419.88,L,m,car,16996,overdrive,"12,24"
35503,1420.12,R,m,bus,16984,cruise,"12,24"
35517,1420.68,L,m,car,17000,overdrive,"12,24"
35542,1421.68,L,r,truck,17054,overdrive,"12,24"
35865,1434.6,L,r,truck,17204,cruise,"12,24"
35882,1435.28,R,r,truck,17252,cruise,"12,24"
35900,1436,L,r,truck,17233,cruise,"12,24"
35941,1437.64,L,r,truck,17220,cruise,"12,24"
36087,1443.48,L,r,bus,17370,overdrive,"24,36"
36278,1451.12,R,m,truck,17441,cruise,"24,36"
36286,1451.44,R,r,truck,17442,cruise,"24,36"
36718,1468.72,R,l,car,17648,overdrive,"24,36"
36801,1472.04,R,l,car,17669,overdrive,"24,36"
37019,1480.76,L,m,car,17755,overdrive,"24,36"
37036,1481.44,L,m,car,17761,overdrive,"24,36"
37058,1482.32,L,m,car,17768,overdrive,"24,36"
37190,1487.6,L,m,car,17850,overdrive,"24,36"
37210,1488.4,L,m,car,17890,overdrive,"24,36"
37278,1491.12,L,m,car,17921,overdrive,"24,36"
37389,1495.56,R,r,truck,17938,cruise,"24,36"
37582,1503.28,L,r,bus,18000,cruise,"24,36"
38058,1522.32,L,m,truck,18219,overdrive,"24,36"
38188,1527.52,L,m,truck,18280,overdrive,"24,36"
38968,1558.72,L,m,car,18658,overdrive,"24,36"
38987,1559.48,L,m,car,18625,overdrive,"24,36"
39138,1565.52,R,m,car,18747,overdrive,"24,36"
39268,1570.72,R,r,car,18788,cruise,"24,36"
39418,1576.72,L,m,car,18894,overdrive,"24,36"
39494,1579.76,L,m,car,18920,overdrive,"24,36"
39500,1580,R,r,car,18912,cruise,"24,36"
39708,1588.32,R,l,car,19010,overdrive,"24,36"
39824,1592.96,L,m,car,19039,overdrive,"24,36"
